tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,14.0,2.6457513110645907,0.47562881562881565,0.13137120905948108,0.41428571428571426,0.09313146293146639
0.1,14.0,2.6457513110645907,0.47562881562881565,0.13137120905948108,0.41428571428571426,0.09313146293146639
0.15,13.6,1.1401754250991378,0.4609523809523809,0.09388321978349538,0.19999999999999998,0.05976143046671968
0.2,13.6,1.1401754250991378,0.4609523809523809,0.09388321978349538,0.19999999999999998,0.05976143046671968
0.25,14.4,0.8944271909999159,0.6333333333333333,0.2472066162365221,0.07142857142857142,0.050507627227610534
0.3,14.4,0.8944271909999159,0.6333333333333333,0.2472066162365221,0.07142857142857142,0.050507627227610534
0.35,14.4,0.5477225575051662,0.4,0.5477225575051662,0.0,0.0
0.4,14.4,0.5477225575051662,0.4,0.5477225575051662,0.0,0.0
0.45,14.0,0.0,0.0,0.0,0.0,0.0
0.5,14.0,0.0,0.0,0.0,0.0,0.0
0.55,14.0,0.0,0.0,0.0,0.0,0.0
0.6,14.0,0.0,0.0,0.0,0.0,0.0
0.65,14.0,0.0,0.0,0.0,0.0,0.0
0.7,14.0,0.0,0.0,0.0,0.0,0.0
0.75,14.0,0.0,0.0,0.0,0.0,0.0
0.8,14.0,0.0,0.0,0.0,0.0,0.0
0.85,14.0,0.0,0.0,0.0,0.0,0.0
0.9,14.0,0.0,0.0,0.0,0.0,0.0
0.95,14.0,0.0,0.0,0.0,0.0,0.0
