event_id,Alarm Text,Set,time,cluster_id_true,cause_event_id_true
1,ALARM60011-Feed oscillation train 2.,1/1/26 8:06:05,365.749,0,-1
2,ALARM62030-Catalyst dosing mismatch line 1.,1/1/26 8:06:17,377.016,2,1
3,ALARM61021-Reactor heat imbalance unit 3.,1/1/26 8:12:43,763.079,1,-1
4,ALARM62031-Catalyst feeder jitter line 4.,1/1/26 8:12:57,777.448,2,3
5,ALARM62031-Catalyst feeder jitter line 1.,1/1/26 8:16:20,980.05,2,-1
6,ALARM63040-Column pressure surge section 1.,1/1/26 8:16:37,997.758,3,5
7,ALARM61021-Reactor heat imbalance unit 3.,1/1/26 8:22:40,1360.431,1,-1
8,ALARM62030-Catalyst dosing mismatch line 2.,1/1/26 8:22:55,1375.864,2,7
9,ALARM61020-Reactor thermal drift unit 2.,1/1/26 8:26:26,1586.612,1,-1
10,ALARM62031-Catalyst feeder jitter line 2.,1/1/26 8:26:38,1598.016,2,9
11,ALARM62031-Catalyst feeder jitter line 2.,1/1/26 8:31:07,1867.008,2,-1
12,ALARM63041-Column deltaP anomaly section 4.,1/1/26 8:31:24,1884.129,3,11
13,ALARM60010-Feed pressure transient train 1.,1/1/26 8:36:58,2218.656,0,-1
14,ALARM61021-Reactor heat imbalance unit 1.,1/1/26 8:37:14,2234.53,1,13
15,ALARM62030-Catalyst dosing mismatch line 1.,1/1/26 8:42:00,2520.949,2,-1
16,ALARM63040-Column pressure surge section 2.,1/1/26 8:42:09,2529.676,3,15
17,ALARM62030-Catalyst dosing mismatch line 4.,1/1/26 8:47:22,2842.776,2,-1
18,ALARM64051-SIS recovery latch state 4.,1/1/26 8:47:29,2849.542,4,17
19,ALARM61020-Reactor thermal drift unit 4.,1/1/26 8:53:48,3228.174,1,-1
20,ALARM62030-Catalyst dosing mismatch line 2.,1/1/26 8:54:01,3241.754,2,19
21,ALARM60011-Feed oscillation train 1.,1/1/26 9:00:03,3603.695,0,-1
22,ALARM61021-Reactor heat imbalance unit 3.,1/1/26 9:00:13,3613.949,1,21
23,ALARM60011-Feed oscillation train 3.,1/1/26 9:07:06,4026.916,0,-1
24,ALARM62031-Catalyst feeder jitter line 4.,1/1/26 9:07:23,4043.634,2,23
25,ALARM60010-Feed pressure transient train 2.,1/1/26 9:13:30,4410.446,0,-1
26,ALARM61021-Reactor heat imbalance unit 2.,1/1/26 9:13:38,4418.782,1,25
27,ALARM60010-Feed pressure transient train 1.,1/1/26 9:18:30,4710.795,0,-1
28,ALARM63041-Column deltaP anomaly section 1.,1/1/26 9:18:37,4717.32,3,27
29,ALARM62030-Catalyst dosing mismatch line 4.,1/1/26 9:22:14,4934.35,2,-1
30,ALARM64050-Recovery interlock sequence state 1.,1/1/26 9:22:28,4948.546,4,29
31,ALARM60010-Feed pressure transient train 2.,1/1/26 9:28:27,5307.289,0,-1
