c_teacher,e_teacher
0.71017694,0.45584032
0.7801331,0.39306596
0.6868309,0.71797574
0.4339471,0.46845955
0.4808713,0.5360047
0.7240837,0.62029356
0.4212511,0.63058347
0.38828164,0.6322349
0.391668,0.61239815
0.56020826,0.39557636
0.5719683,0.66525185
0.547607,0.61181825
0.47580186,0.6284312
0.7240837,0.62029356
0.59106547,0.36936823
0.44061866,0.45048213
0.550873,0.39346734
0.4968394,0.5524084
0.4212511,0.63058347
0.49720138,0.59055346
0.5562158,0.5797933
0.59106547,0.36936823
0.56703675,0.4487912
0.38713092,0.6597084
0.5696703,0.35020182
0.47296616,0.62252903
0.4351896,0.37479964
0.55697656,0.6490588
0.57019687,0.6358021
0.38241616,0.4437811
0.7801331,0.39306596
0.5450729,0.44612053
0.789943,0.67050564
0.42588097,0.60857594
0.547607,0.61181825
0.57019687,0.6358021
0.48437533,0.5441327
0.36995515,0.62386334
0.38713092,0.6597084
0.42010552,0.40449482
0.52654916,0.4818119
0.45220956,0.49150994
0.5810985,0.5589901
0.6881639,0.5704405
0.41282916,0.5771469
0.5450729,0.44612053
0.62839717,0.631105
0.4770712,0.655104
0.7770808,0.48177767
0.5696703,0.35020182
0.55553657,0.61260796
0.49469683,0.49972123
0.40743703,0.6743888
0.49575403,0.46336353
0.41968092,0.47828764
0.3542225,0.5793249
0.43969637,0.4950131
0.5450729,0.44612053
0.7165359,0.5418546
0.5810985,0.5589901
0.7705827,0.59024197
0.509767,0.51096404
0.7240837,0.62029356
0.39130372,0.44561148
0.4212511,0.63058347
0.50966465,0.68816465
0.59106547,0.36936823
0.38713092,0.6597084
0.46109915,0.5355842
0.42924035,0.4139864
0.47859538,0.45592928
0.7165359,0.5418546
0.6868309,0.71797574
0.547607,0.61181825
0.7061364,0.5337337
0.48578575,0.55966395
0.48798862,0.6365184
0.51272565,0.61917776
0.7770808,0.48177767
0.38713092,0.6597084
0.46109915,0.5355842
0.42010552,0.40449482
0.40743703,0.6743888
0.38367662,0.41791514
0.38297874,0.48921916
0.5450729,0.44612053
0.7118886,0.5655637
0.49811897,0.5806518
0.36426952,0.5294378
0.38713092,0.6597084
0.49469683,0.49972123
0.42010552,0.40449482
0.40743703,0.6743888
0.52654916,0.4818119
0.45745182,0.6489924
0.41968092,0.47828764
0.43969637,0.4950131
0.41968092,0.47828764
0.4968394,0.5524084
0.52947944,0.48795083
0.41968092,0.47828764
0.5258844,0.54847264
0.55930924,0.4438695
0.5450729,0.44612053
0.4212511,0.63058347
0.67102164,0.46090972
0.6579811,0.5699329
0.509767,0.51096404
0.5470419,0.47319883
0.7061364,0.5337337
0.398849,0.3855248
0.4968394,0.5524084
0.38713092,0.6597084
0.7240837,0.62029356
0.47456935,0.54385346
0.5258844,0.54847264
0.5428915,0.61363935
0.36426952,0.5294378
0.4356195,0.5987576
0.49469683,0.49972123
0.509767,0.51096404
0.59106547,0.36936823
0.40743703,0.6743888
0.5470419,0.47319883
0.35060588,0.45818794
0.50975394,0.38067785
0.47456935,0.54385346
0.55930924,0.4438695
0.37556708,0.74445486
0.41282916,0.5771469
0.7061364,0.5337337
0.49575403,0.46336353
0.5696703,0.35020182
0.41968092,0.47828764
0.39130372,0.44561148
0.4968394,0.5524084
0.38713092,0.6597084
0.49469683,0.49972123
0.71017694,0.45584032
0.38713092,0.6597084
0.5450729,0.44612053
0.43969637,0.4950131
0.550873,0.39346734
0.41968092,0.47828764
0.4968394,0.5524084
0.5062854,0.56352997
0.67102164,0.46090972
0.706236,0.55135643
0.47296616,0.62252903
0.41968092,0.47828764
0.7118886,0.5655637
0.4530839,0.50883627
0.3978551,0.6589783
0.35274372,0.5166871
0.39310387,0.55155534
0.5470418,0.636068
0.41282916,0.5771469
0.38713092,0.6597084
0.42924035,0.4139864
0.55697656,0.6490588
0.50920385,0.6598244
0.5470419,0.47319883
0.82001203,0.4997278
0.44202322,0.5311358
0.46275842,0.5474562
0.38828164,0.6322349
0.38713092,0.6597084
0.52393055,0.5234935
0.56703675,0.4487912
0.3542225,0.5793249
0.82683074,0.51060134
0.43969637,0.4950131
0.41968092,0.47828764
0.55697656,0.6490588
0.5450729,0.44612053
0.5450729,0.44612053
0.706236,0.55135643
0.67102164,0.46090972
0.5391632,0.50559705
0.6868309,0.71797574
0.4247821,0.53778327
0.35202748,0.63746536
0.48104805,0.4569613
0.37454587,0.5083095
0.4577496,0.50185394
0.41789448,0.47056392
0.62839717,0.631105
0.44705132,0.5278021
0.46788564,0.5936766
0.67102164,0.46090972
0.4784554,0.64430934
0.6579811,0.5699329
0.38713092,0.6597084
0.5450729,0.44612053
0.41968092,0.47828764
0.7801331,0.39306596
0.5450729,0.44612053
0.3906845,0.6012539
0.36426952,0.5294378
0.6997135,0.54835135
0.539329,0.48976955
0.41789448,0.47056392
0.38713092,0.6597084
0.4968394,0.5524084
0.4738347,0.390168
0.37556708,0.74445486
0.56499624,0.45521688
0.5450729,0.44612053
0.5567003,0.5032819
0.5450729,0.44612053
0.67102164,0.46090972
0.69613904,0.5184615
0.5719683,0.66525185
0.41282916,0.5771469
0.46229807,0.53514326
0.50920385,0.6598244
0.7165359,0.5418546
0.5047858,0.50268507
0.5726322,0.6763963
0.4805451,0.51135385
0.38297874,0.48921916
0.4212511,0.63058347
0.82001203,0.4997278
0.398849,0.3855248
0.45478675,0.65300554
0.7240837,0.62029356
0.39130816,0.65250283
0.82001203,0.4997278
0.49317622,0.4753211
0.45532912,0.36612877
0.4968394,0.5524084
0.49469683,0.49972123
0.5258844,0.54847264
0.45745182,0.6489924
0.41968092,0.47828764
0.3535164,0.6741342
0.4212511,0.63058347
0.38828164,0.6322349
0.5810985,0.5589901
0.6881639,0.5704405
0.4808713,0.5360047
0.39130372,0.44561148
0.5450729,0.44612053
0.37343508,0.56079614
0.614231,0.4492178
0.46109915,0.5355842
0.40959114,0.65591925
0.56020826,0.39557636
0.4968394,0.5524084
0.3542225,0.5793249
0.49575403,0.46336353
0.5450729,0.44612053
0.4212511,0.63058347
0.5629569,0.6705971
0.7801331,0.39306596
0.6161425,0.7413767
0.41282916,0.5771469
0.35202748,0.63746536
0.57019687,0.6358021
0.55697656,0.6490588
0.7770808,0.48177767
0.49575403,0.46336353
0.44567496,0.3714565
0.4968394,0.5524084
0.37556708,0.74445486
0.37117958,0.5425798
0.4790982,0.5973701
0.5567003,0.5032819
0.41968092,0.47828764
0.53188735,0.7728611
0.41968092,0.47828764
0.49068633,0.50974554
0.42924035,0.4139864
0.7577623,0.6216138
0.38713092,0.6597084
0.56499624,0.45521688
0.52654916,0.4818119
0.5450729,0.44612053
0.53242755,0.5652706
0.6161425,0.7413767
0.5450729,0.44612053
0.41282916,0.5771469
0.4808713,0.5360047
0.56499624,0.45521688
0.39130372,0.44561148
0.45745182,0.6489924
0.5047858,0.50268507
0.62839717,0.631105
0.5450729,0.44612053
0.4968394,0.5524084
0.4212511,0.63058347
0.7770808,0.48177767
0.4861861,0.48458725
0.55063176,0.5668417
0.46109915,0.5355842
0.3754808,0.6455638
0.4968394,0.5524084
0.47859538,0.45592928
0.71017694,0.45584032
0.55930924,0.4438695
0.52393055,0.5234935
0.41968092,0.47828764
0.46957844,0.51628035
0.44567496,0.3714565
0.41968092,0.47828764
0.38241616,0.4437811
0.5450729,0.44612053
0.49469683,0.49972123
0.37556708,0.74445486
0.5422215,0.39386716
0.5450729,0.44612053
0.46109915,0.5355842
0.5450729,0.44612053
0.71017694,0.45584032
0.5488433,0.5625861
0.45532912,0.36612877
0.5680937,0.37359065
0.50975394,0.38067785
0.56020826,0.39557636
0.41968092,0.47828764
0.3542225,0.5793249
0.5422215,0.39386716
0.41968092,0.47828764
0.5258844,0.54847264
0.45745182,0.6489924
0.41968092,0.47828764
0.5810985,0.5589901
0.6161425,0.7413767
0.46229807,0.53514326
0.37343508,0.56079614
0.4212511,0.63058347
0.41789448,0.47056392
0.35274372,0.5166871
0.4968394,0.5524084
0.50975394,0.38067785
0.41968092,0.47828764
0.67635435,0.51174206
0.7165359,0.5418546
0.5925735,0.561652
0.4808713,0.5360047
0.62839717,0.631105
0.5450729,0.44612053
0.56703675,0.4487912
0.52654916,0.4818119
0.5422215,0.39386716
0.5450729,0.44612053
0.49921215,0.634521
0.5810985,0.5589901
0.6868309,0.71797574
0.4808713,0.5360047
0.5450729,0.44612053
0.59197515,0.66980284
0.7240837,0.62029356
0.512119,0.57015556
0.6347391,0.49489397
0.7705827,0.59024197
0.3978551,0.6589783
0.5047858,0.50268507
0.7801331,0.39306596
0.5925735,0.561652
0.547607,0.61181825
0.62839717,0.631105
0.5470419,0.47319883
0.6997135,0.54835135
0.38713092,0.6597084
0.4738347,0.390168
0.38713092,0.6597084
0.42010552,0.40449482
0.40743703,0.6743888
0.37454587,0.5083095
0.5258844,0.54847264
0.5422215,0.39386716
0.41968092,0.47828764
0.41968092,0.47828764
0.38713092,0.6597084
0.37454587,0.5083095
0.3542225,0.5793249
0.5450729,0.44612053
0.56499624,0.45521688
0.41968092,0.47828764
0.49204808,0.5374268
0.3909507,0.6765196
0.42732754,0.6085468
0.7801331,0.39306596
0.547607,0.61181825
0.4805451,0.51135385
0.7118886,0.5655637
0.82001203,0.4997278
0.398849,0.3855248
0.43817914,0.567977
0.38365048,0.48380038
0.56703675,0.4487912
0.71017694,0.45584032
0.55697656,0.6490588
0.46109915,0.5355842
0.4351896,0.37479964
0.4968394,0.5524084
0.5567003,0.5032819
0.5450729,0.44612053
0.41968092,0.47828764
0.614231,0.4492178
0.4740712,0.6599202
0.4212511,0.63058347
0.42091525,0.5788125
0.38713092,0.6597084
0.47456935,0.54385346
0.47859538,0.45592928
0.5422215,0.39386716
0.41968092,0.47828764
0.6728571,0.6477941
0.547607,0.61181825
0.5470419,0.47319883
0.6997135,0.54835135
0.48104805,0.4569613
0.44567496,0.3714565
0.5470419,0.47319883
0.71017694,0.45584032
0.4470438,0.52023304
0.35565662,0.5155472
0.5047858,0.50268507
0.42010552,0.40449482
0.41789448,0.47056392
0.5680937,0.37359065
0.47968638,0.4983364
0.52947944,0.48795083
0.3542225,0.5793249
0.43969637,0.4950131
0.53242755,0.5652706
0.41968092,0.47828764
0.41968092,0.47828764
0.41968092,0.47828764
0.47859538,0.45592928
0.55930924,0.4438695
0.5450729,0.44612053
0.67102164,0.46090972
0.5719683,0.66525185
0.5290477,0.6455267
0.39130372,0.44561148
0.35274372,0.5166871
0.7770808,0.48177767
0.38713092,0.6597084
0.46109915,0.5355842
0.47189382,0.5352067
0.6997135,0.54835135
0.38713092,0.6597084
0.398849,0.3855248
0.5680937,0.37359065
0.5810985,0.5589901
0.5719683,0.66525185
0.39598024,0.4924467
0.39130816,0.65250283
0.7770808,0.48177767
0.35274372,0.5166871
0.47859538,0.45592928
0.44341022,0.48954487
0.550873,0.39346734
0.45963588,0.6565086
0.55210245,0.533477
0.42924035,0.4139864
0.489941,0.44913718
0.4968394,0.5524084
0.45745182,0.6489924
0.5470419,0.47319883
0.36995515,0.62386334
0.49068633,0.50974554
0.51543987,0.5064267
0.614231,0.4492178
0.44701135,0.5648677
0.5696703,0.35020182
0.37454587,0.5083095
0.4968394,0.5524084
0.50975394,0.38067785
0.41968092,0.47828764
0.56703675,0.4487912
0.7061364,0.5337337
0.47459602,0.638475
0.47859538,0.45592928
0.5696703,0.35020182
0.52393055,0.5234935
0.41968092,0.47828764
0.41968092,0.47828764
0.4968394,0.5524084
0.35274372,0.5166871
0.4212511,0.63058347
0.45295224,0.65879333
0.38713092,0.6597084
0.42924035,0.4139864
0.40743703,0.6743888
0.5422215,0.39386716
0.5450729,0.44612053
0.7577623,0.6216138
0.82001203,0.4997278
0.5518681,0.46132335
0.46576458,0.4069466
0.5258844,0.54847264
0.43969637,0.4950131
0.5450729,0.44612053
0.4351896,0.37479964
0.38367662,0.41791514
0.5450729,0.44612053
