threshold,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,42.0,0.0,0.75,0.0,1.0,0.0
0.1,42.0,0.0,0.75,0.0,1.0,0.0
0.15,42.0,0.0,0.75,0.0,1.0,0.0
0.2,42.0,0.0,0.75,0.0,1.0,0.0
0.25,42.0,0.0,0.75,0.0,1.0,0.0
0.3,42.0,0.0,0.75,0.0,1.0,0.0
0.35,42.0,0.0,0.75,0.0,1.0,0.0
0.4,41.8,0.4472135954999579,0.7490909090909091,0.0020327890704543426,1.0,0.0
0.45,41.6,0.8944271909999159,0.75,0.0,0.9857142857142858,0.03194382824999698
0.5,29.4,7.92464510246358,0.7513088849135361,0.03500566452096857,0.5714285714285714,0.31542003094028026
0.55,14.6,0.8944271909999159,0.3125,0.4550068680800324,0.1,0.22360679774997902
0.6,14.4,0.8944271909999157,0.2,0.44721359549995804,0.0,0.0
0.65,14.0,0.0,0.0,0.0,0.0,0.0
0.7,14.0,0.0,0.0,0.0,0.0,0.0
0.75,14.0,0.0,0.0,0.0,0.0,0.0
0.8,14.0,0.0,0.0,0.0,0.0,0.0
0.85,14.0,0.0,0.0,0.0,0.0,0.0
0.9,14.0,0.0,0.0,0.0,0.0,0.0
0.95,14.0,0.0,0.0,0.0,0.0,0.0
