threshold,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,12.0,0.0,0.6,0.0,1.0,0.0
0.1,12.0,0.0,0.6,0.0,1.0,0.0
0.15,12.0,0.0,0.6,0.0,1.0,0.0
0.2,12.0,0.0,0.6,0.0,1.0,0.0
0.25,12.4,0.8944271909999159,0.6133333333333334,0.029814239699997188,0.95,0.11180339887498948
0.3,12.4,0.8944271909999159,0.6133333333333334,0.029814239699997188,0.95,0.11180339887498948
0.35,12.4,0.8944271909999159,0.6174999999999999,0.03913118960624633,0.925,0.16770509831248423
0.4,12.4,0.8944271909999159,0.6174999999999999,0.03913118960624633,0.925,0.16770509831248423
0.45,12.4,0.8944271909999159,0.6174999999999999,0.03913118960624633,0.925,0.16770509831248423
0.5,10.0,2.8284271247461903,0.585,0.13181426326464069,0.6,0.2053959590644373
0.55,7.8,2.588435821108957,0.47000000000000003,0.405585995813465,0.25,0.19764235376052372
0.6,7.8,1.4832396974191326,0.2,0.44721359549995804,0.075,0.11180339887498947
0.65,7.8,0.44721359549995787,0.0,0.0,0.025,0.055901699437494755
0.7,8.0,0.0,0.0,0.0,0.0,0.0
0.75,8.0,0.0,0.0,0.0,0.0,0.0
0.8,8.0,0.0,0.0,0.0,0.0,0.0
0.85,8.0,0.0,0.0,0.0,0.0,0.0
0.9,8.0,0.0,0.0,0.0,0.0,0.0
0.95,8.0,0.0,0.0,0.0,0.0,0.0
