c_teacher,e_teacher
0.76194876,0.55045193
0.6100286,0.57599926
0.54796636,0.8150855
0.79529554,0.53101677
0.70626295,0.5816515
0.5657367,0.8717287
0.54796636,0.8150855
0.6638191,0.59470654
0.358516,0.5174747
0.77970797,0.61134803
0.77970797,0.61134803
0.55663645,0.6366555
0.7461627,0.570018
0.44774675,0.72970414
0.6100286,0.57599926
0.3809259,0.8863472
0.7547606,0.652709
0.4027015,0.5687882
0.42038053,0.55689263
0.6638191,0.59470654
0.8154803,0.48227632
0.54796636,0.8150855
0.8012271,0.4979554
0.79529554,0.53101677
0.61663294,0.63856053
0.5302117,0.69831437
0.7461627,0.570018
0.48928875,0.60175246
0.7547606,0.652709
0.54842436,0.46121764
0.61663294,0.63856053
0.5657367,0.8717287
0.42038053,0.55689263
0.6638191,0.59470654
0.7461627,0.570018
0.54796636,0.8150855
0.5302117,0.69831437
0.77970797,0.61134803
0.46537486,0.7792023
0.71914375,0.67929417
0.7037804,0.5475944
0.54842436,0.46121764
0.48928875,0.60175246
0.41935095,0.43901518
0.76194876,0.55045193
0.70626295,0.5816515
0.7432601,0.5865601
0.5302117,0.69831437
0.54796636,0.8150855
0.46293172,0.4601013
0.3809259,0.8863472
0.37632903,0.7497862
0.61663294,0.63856053
0.53054786,0.6280676
0.7432601,0.5865601
0.71914375,0.67929417
0.7037804,0.5475944
0.5657367,0.8717287
0.7037804,0.5475944
0.54842436,0.46121764
0.5302117,0.69831437
0.77970797,0.61134803
0.46537486,0.7792023
0.6100286,0.57599926
0.61663294,0.63856053
0.37321168,0.7635319
0.7547606,0.652709
0.5657367,0.8717287
0.53054786,0.6280676
0.46293172,0.4601013
0.6638191,0.59470654
0.46293172,0.4601013
0.76194876,0.55045193
0.3809259,0.8863472
0.6892042,0.4605809
0.3809259,0.8863472
0.7033724,0.5460454
0.53791887,0.5522193
0.6100286,0.57599926
0.37632903,0.7497862
0.5302117,0.69831437
0.38442242,0.56989366
0.8012271,0.4979554
0.358516,0.5174747
0.61663294,0.63856053
0.53054786,0.6280676
0.44774675,0.72970414
0.7037804,0.5475944
0.53054786,0.6280676
0.54842436,0.46121764
0.76194876,0.55045193
0.44774675,0.72970414
0.42038053,0.55689263
0.54942286,0.57376534
0.44774675,0.72970414
0.77970797,0.61134803
0.8154803,0.48227632
0.70626295,0.5816515
0.37321168,0.7635319
0.37632903,0.7497862
0.54796636,0.8150855
0.71914375,0.67929417
0.46537486,0.7792023
0.79529554,0.53101677
0.5302117,0.69831437
0.38442242,0.56989366
0.5302117,0.69831437
0.4027015,0.5687882
0.7432601,0.5865601
0.5302117,0.69831437
0.8012271,0.4979554
0.79529554,0.53101677
0.44899443,0.6151534
0.53893334,0.58724374
0.7432601,0.5865601
0.48928875,0.60175246
0.71914375,0.67929417
0.41935095,0.43901518
0.7461627,0.570018
0.358516,0.5174747
0.8154803,0.48227632
0.79529554,0.53101677
0.42038053,0.55689263
0.4027015,0.5687882
0.358516,0.5174747
0.54842436,0.46121764
0.5302117,0.69831437
0.7547606,0.652709
0.3809259,0.8863472
0.38442242,0.56989366
0.6892042,0.4605809
0.46537486,0.7792023
0.79529554,0.53101677
0.38442242,0.56989366
0.8012271,0.4979554
0.71914375,0.67929417
0.44899443,0.6151534
0.4027015,0.5687882
0.7432601,0.5865601
0.53791887,0.5522193
0.54796636,0.8150855
0.41935095,0.43901518
0.6638191,0.59470654
0.44899443,0.6151534
0.6100286,0.57599926
0.4027015,0.5687882
0.46537486,0.7792023
0.70626295,0.5816515
0.42038053,0.55689263
0.37632903,0.7497862
0.55663645,0.6366555
0.46293172,0.4601013
0.7033724,0.5460454
0.77970797,0.61134803
0.77970797,0.61134803
0.4027015,0.5687882
0.70626295,0.5816515
0.53054786,0.6280676
0.76194876,0.55045193
0.44899443,0.6151534
0.6892042,0.4605809
0.5657367,0.8717287
0.76194876,0.55045193
0.77970797,0.61134803
0.71914375,0.67929417
0.53054786,0.6280676
0.6892042,0.4605809
0.54796636,0.8150855
0.7037804,0.5475944
0.54942286,0.57376534
0.35945958,0.8716083
0.54842436,0.46121764
0.76194876,0.55045193
0.5657367,0.8717287
0.61663294,0.63856053
0.6100286,0.57599926
0.61663294,0.63856053
0.42038053,0.55689263
0.6638191,0.59470654
0.53054786,0.6280676
0.77970797,0.61134803
0.3809259,0.8863472
0.70626295,0.5816515
0.46293172,0.4601013
0.7033724,0.5460454
0.6100286,0.57599926
0.42912626,0.46013165
0.70626295,0.5816515
0.71914375,0.67929417
0.53054786,0.6280676
0.7432601,0.5865601
0.35945958,0.8716083
0.8154803,0.48227632
0.7037804,0.5475944
0.5302117,0.69831437
0.77970797,0.61134803
0.55663645,0.6366555
0.4027015,0.5687882
0.53054786,0.6280676
0.54842436,0.46121764
0.46537486,0.7792023
0.7547606,0.652709
0.54796636,0.8150855
0.38442242,0.56989366
0.77970797,0.61134803
0.53893334,0.58724374
0.7037804,0.5475944
0.54942286,0.57376534
0.48928875,0.60175246
0.54842436,0.46121764
0.6892042,0.4605809
0.77970797,0.61134803
0.46537486,0.7792023
0.37632903,0.7497862
0.71914375,0.67929417
0.35945958,0.8716083
0.53791887,0.5522193
0.79529554,0.53101677
0.7033724,0.5460454
0.7037804,0.5475944
0.53054786,0.6280676
0.54942286,0.57376534
0.42912626,0.46013165
0.46293172,0.4601013
0.61663294,0.63856053
0.3809259,0.8863472
0.53054786,0.6280676
0.37632903,0.7497862
0.71914375,0.67929417
0.46293172,0.4601013
0.37321168,0.7635319
0.41935095,0.43901518
0.48928875,0.60175246
0.46293172,0.4601013
0.42038053,0.55689263
0.54842436,0.46121764
0.7033724,0.5460454
0.46537486,0.7792023
0.5302117,0.69831437
0.46293172,0.4601013
0.44774675,0.72970414
0.7547606,0.652709
0.48928875,0.60175246
0.41935095,0.43901518
0.71914375,0.67929417
0.3809259,0.8863472
0.7547606,0.652709
0.35945958,0.8716083
0.46537486,0.7792023
0.4027015,0.5687882
