event_id,time,cluster_id
1,187.528,2
2,206.969,12
3,251.158,4
4,257.9,14
5,367.877,7
6,374.062,2
7,379.556,12
8,507.126,6
9,540.721,14
10,634.275,7
11,646.269,3
12,659.474,4
13,691.288,11
14,712.097,10
15,729.611,4
16,824.138,11
17,830.471,5
18,846.594,13
19,876.919,11
20,879.822,7
21,927.5,5
22,933.512,0
23,986.967,6
24,1085.575,1
25,1100.249,15
26,1105.776,9
27,1117.021,2
28,1118.292,3
29,1125.61,4
30,1178.09,12
31,1199.97,6
32,1315.779,14
33,1400.337,1
34,1421.431,7
35,1443.438,15
36,1474.995,3
37,1495.451,10
38,1496.623,9
39,1508.212,2
40,1510.313,11
41,1512.672,5
42,1516.787,13
43,1520.592,4
44,1621.553,7
45,1665.509,2
46,1676.122,4
47,1690.616,12
48,1700.168,6
49,1807.484,3
50,1807.484,14
51,1828.4,11
52,1967.509,7
53,2011.935,5
54,2037.589,13
55,2084.794,7
56,2195.343,10
57,2198.825,4
58,2281.127,11
59,2350.461,5
60,2387.534,13
61,2549.099,7
62,2575.0,0
63,2599.277,1
64,2667.094,15
65,2668.989,9
66,2687.578,8
67,2688.272,3
68,2694.241,4
69,2694.876,15
70,2696.868,10
71,2698.453,11
72,2698.549,1
73,2711.962,2
74,2724.974,12
75,2728.304,15
76,2737.098,11
77,2741.537,5
78,2773.3,13
79,2799.53,7
80,2831.338,4
81,2846.79,11
82,2866.321,6
83,2892.79,14
84,2898.543,7
85,2937.821,14
86,3178.249,1
87,3178.249,5
88,3178.249,7
89,3213.825,15
90,3223.746,13
91,3234.27,3
92,3312.271,10
93,3331.914,11
94,3342.055,4
95,3571.245,5
96,3574.695,13
97,3589.664,7
98,3613.863,4
99,3646.142,9
100,3766.396,2
101,3766.396,2
102,3778.274,12
103,3787.394,6
104,3797.974,12
105,3798.132,4
106,3803.173,6
107,3822.077,14
108,3844.432,7
109,3868.625,11
110,3873.74,5
111,3887.546,14
112,3940.84,13
113,3948.908,7
114,4059.39,7
115,4086.908,2
116,4093.379,12
117,4130.7,4
118,4549.116,11
119,4624.276,5
120,4658.64,13
121,4735.378,3
122,4771.498,2
