event_id,Alarm Text,Set,time,cluster_id_true,cause_event_id_true
1,ALARM53042-Agitator motor oscillation vessel 3.,1/1/26 8:07:38,458.968,3,-1
2,ALARM54052-Column deltaP surge section 1.,1/1/26 8:07:54,474.868,4,1
3,ALARM51022-Heat balance mismatch unit 1.,1/1/26 8:15:56,956.689,1,-1
4,ALARM52032-Catalyst feeder oscillation unit 1.,1/1/26 8:16:17,977.242,2,3
5,ALARM53042-Agitator motor oscillation vessel 3.,1/1/26 8:20:52,1252.67,3,-1
6,ALARM56071-Analyzer outlier stream 1.,1/1/26 8:21:18,1278.231,6,5
7,ALARM55061-Reboiler duty deviation loop 2.,1/1/26 8:28:53,1733.739,5,-1
8,ALARM57082-Interlock recovery latch engaged.,1/1/26 8:29:15,1755.888,7,7
9,ALARM53041-Agitator vibration spike vessel 1.,1/1/26 8:34:00,2040.479,3,-1
10,ALARM54052-Column deltaP surge section 3.,1/1/26 8:34:16,2056.586,4,9
11,ALARM51022-Heat balance mismatch unit 3.,1/1/26 8:40:06,2406.701,1,-1
12,ALARM53041-Agitator vibration spike vessel 3.,1/1/26 8:40:31,2431.383,3,11
13,ALARM54052-Column deltaP surge section 2.,1/1/26 8:47:35,2855.226,4,-1
14,ALARM55062-Reboiler valve oscillation loop 1.,1/1/26 8:47:58,2878.036,5,13
15,ALARM54051-Column pressure bump section 2.,1/1/26 8:54:07,3247.758,4,-1
16,ALARM55061-Reboiler duty deviation loop 4.,1/1/26 8:54:19,3259.848,5,15
17,ALARM51022-Heat balance mismatch unit 3.,1/1/26 9:00:59,3659.586,1,-1
18,ALARM53041-Agitator vibration spike vessel 3.,1/1/26 9:01:08,3668.735,3,17
19,ALARM51021-Reactor temperature drift unit 2.,1/1/26 9:09:02,4142.195,1,-1
20,ALARM54051-Column pressure bump section 3.,1/1/26 9:09:21,4161.565,4,19
21,ALARM52032-Catalyst feeder oscillation unit 3.,1/1/26 9:16:56,4616.249,2,-1
22,ALARM56071-Analyzer outlier stream 2.,1/1/26 9:17:10,4630.63,6,21
23,ALARM54052-Column deltaP surge section 2.,1/1/26 9:25:42,5142.719,4,-1
24,ALARM55062-Reboiler valve oscillation loop 4.,1/1/26 9:26:06,5166.795,5,23
25,ALARM50012-Feed suction transient train 2.,1/1/26 9:33:46,5626.959,0,-1
26,ALARM52032-Catalyst feeder oscillation unit 2.,1/1/26 9:33:58,5638.462,2,25
27,ALARM52031-Catalyst dosing deviation unit 3.,1/1/26 9:40:14,6014.477,2,-1
28,ALARM55062-Reboiler valve oscillation loop 4.,1/1/26 9:40:23,6023.265,5,27
29,ALARM55062-Reboiler valve oscillation loop 2.,1/1/26 9:45:14,6314.923,5,-1
30,ALARM57081-SIS recovery sequence initiated.,1/1/26 9:45:35,6335.218,7,29
31,ALARM53041-Agitator vibration spike vessel 1.,1/1/26 9:53:06,6786.304,3,-1
32,ALARM56071-Analyzer outlier stream 2.,1/1/26 9:53:31,6811.719,6,31
33,ALARM52031-Catalyst dosing deviation unit 4.,1/1/26 9:59:09,7149.692,2,-1
34,ALARM55061-Reboiler duty deviation loop 4.,1/1/26 9:59:24,7164.36,5,33
35,ALARM52032-Catalyst feeder oscillation unit 4.,1/1/26 10:05:41,7541.14,2,-1
36,ALARM56072-Composition jump stream 1.,1/1/26 10:05:52,7552.551,6,35
37,ALARM51021-Reactor temperature drift unit 3.,1/1/26 10:10:37,7837.63,1,-1
38,ALARM53042-Agitator motor oscillation vessel 1.,1/1/26 10:10:54,7854.192,3,37
39,ALARM56072-Composition jump stream 4.,1/1/26 10:16:05,8165.458,6,-1
40,ALARM57081-SIS recovery sequence initiated.,1/1/26 10:16:25,8185.515,7,39
