event_id,Alarm Text,time
e0,alarm_3,458.968
e1,alarm_4,474.868
e2,alarm_1,956.689
e3,alarm_2,977.242
e4,alarm_3,1252.67
e5,alarm_6,1278.231
e6,alarm_5,1733.739
e7,alarm_7,1755.888
e8,alarm_3,2040.479
e9,alarm_4,2056.586
e10,alarm_1,2406.701
e11,alarm_3,2431.383
e12,alarm_4,2855.226
e13,alarm_5,2878.036
e14,alarm_4,3247.758
e15,alarm_5,3259.848
e16,alarm_1,3659.586
e17,alarm_3,3668.735
e18,alarm_1,4142.195
e19,alarm_4,4161.565
e20,alarm_2,4616.249
e21,alarm_6,4630.63
e22,alarm_4,5142.719
e23,alarm_5,5166.795
e24,alarm_0,5626.959
e25,alarm_2,5638.462
e26,alarm_2,6014.477
e27,alarm_5,6023.265
e28,alarm_5,6314.923
e29,alarm_7,6335.218
e30,alarm_3,6786.304
e31,alarm_6,6811.719
e32,alarm_2,7149.692
e33,alarm_5,7164.36
e34,alarm_2,7541.14
e35,alarm_6,7552.551
e36,alarm_1,7837.63
e37,alarm_3,7854.192
e38,alarm_6,8165.458
e39,alarm_7,8185.515
e40,alarm_3,8553.546
e41,alarm_4,8576.534
e42,alarm_2,9015.605
e43,alarm_4,9029.228
e44,alarm_0,9503.938
e45,alarm_1,9526.424
e46,alarm_3,9881.043
e47,alarm_6,9894.233
e48,alarm_0,10328.507
e49,alarm_3,10339.022
e50,alarm_1,10642.997
e51,alarm_4,10651.13
e52,alarm_0,11113.6
e53,alarm_3,11133.567
e54,alarm_6,11573.962
e55,alarm_7,11596.015
e56,alarm_2,11969.922
e57,alarm_4,11988.159
e58,alarm_1,12275.904
e59,alarm_2,12285.966
e60,alarm_0,12716.435
e61,alarm_1,12732.915
e62,alarm_0,13135.528
e63,alarm_3,13157.298
e64,alarm_6,13578.672
e65,alarm_7,13596.637
e66,alarm_1,13997.623
e67,alarm_4,14011.094
e68,alarm_2,14269.414
e69,alarm_4,14285.275
e70,alarm_2,14593.213
e71,alarm_6,14608.567
e72,alarm_0,15088.986
e73,alarm_1,15101.197
e74,alarm_0,15366.938
e75,alarm_2,15380.003
e76,alarm_1,15709.273
e77,alarm_2,15729.188
e78,alarm_0,16129.587
e79,alarm_2,16151.697
e80,alarm_2,16581.061
e81,alarm_5,16596.376
e82,alarm_5,17066.162
e83,alarm_7,17077.167
e84,alarm_0,17385.117
e85,alarm_1,17716.633
e86,alarm_2,18269.459
e87,alarm_3,18731.116
e88,alarm_4,19087.561
e89,alarm_0,19562.927
e90,alarm_1,19916.236
e91,alarm_2,20459.948
e92,alarm_3,20916.103
e93,alarm_4,21349.461
e94,alarm_0,21754.99
e95,alarm_1,22275.589
e96,alarm_2,22702.223
e97,alarm_3,23032.901
e98,alarm_4,23374.203
e99,alarm_0,24010.867
