cause_event_id,cause_cluster,effect_event_id,effect_cluster
1,2,2,12
1,2,3,4
7,12,8,6
8,6,9,14
9,14,10,7
11,3,12,4
12,4,13,11
11,3,14,10
14,10,15,4
15,4,16,11
13,11,17,5
17,5,18,13
14,10,19,11
18,13,20,7
19,11,21,5
24,1,25,15
24,1,26,9
26,9,27,2
25,15,28,3
27,2,29,4
27,2,30,12
30,12,31,6
31,6,32,14
32,14,34,7
33,1,35,15
35,15,36,3
36,3,37,10
33,1,38,9
38,9,39,2
37,10,40,11
40,11,41,5
41,5,42,13
37,10,43,4
42,13,44,7
45,2,46,4
45,2,47,12
47,12,48,6
48,6,50,14
43,4,51,11
50,14,52,7
51,11,53,5
53,5,54,13
54,13,55,7
49,3,56,10
56,10,57,4
56,10,58,11
58,11,59,5
59,5,60,13
60,13,61,7
62,0,63,1
63,1,64,15
63,1,65,9
62,0,66,8
64,15,67,3
67,3,68,4
66,8,69,15
67,3,70,10
68,4,71,11
66,8,72,1
65,9,73,2
73,2,74,12
72,1,75,15
70,10,76,11
71,11,77,5
77,5,78,13
78,13,79,7
70,10,80,4
80,4,81,11
74,12,82,6
82,6,83,14
83,14,84,7
81,11,87,5
85,14,88,7
86,1,89,15
87,5,90,13
89,15,91,3
91,3,92,10
92,10,93,11
92,10,94,4
93,11,95,5
95,5,96,13
96,13,97,7
