cause_event_id,cause_cluster,effect_event_id,effect_cluster
1,1,2,2
3,1,4,2
5,0,6,3
7,0,8,2
9,0,10,1
11,3,12,4
13,1,14,4
15,0,16,2
17,1,18,4
19,0,20,3
21,1,22,4
23,1,24,2
25,0,26,2
27,0,28,1
29,2,30,4
31,2,32,4
33,0,34,2
35,1,36,2
37,2,38,3
39,0,40,1
41,2,42,4
43,0,44,3
45,2,46,3
47,3,48,4
49,2,50,4
51,1,52,4
53,1,54,4
55,1,56,2
57,1,58,2
59,2,60,4
61,3,62,4
63,2,64,3
65,2,66,3
67,3,68,4
69,0,70,2
71,3,72,4
73,3,74,4
75,0,76,1
77,1,78,4
79,2,80,3
81,0,82,1
83,2,84,3
85,0,86,1
87,0,88,2
89,0,90,3
91,0,92,3
93,0,94,3
95,0,96,1
97,0,98,2
99,2,100,4
