event_id,time,cluster_id
1,458.968,3
2,474.868,4
3,956.689,1
4,977.242,2
5,1252.67,3
6,1278.231,6
7,1733.739,5
8,1755.888,7
9,2040.479,3
10,2056.586,4
11,2406.701,1
12,2431.383,3
13,2855.226,4
14,2878.036,5
15,3247.758,4
16,3259.848,5
17,3659.586,1
18,3668.735,3
19,4142.195,1
20,4161.565,4
21,4616.249,2
22,4630.63,6
23,5142.719,4
24,5166.795,5
25,5626.959,0
26,5638.462,2
27,6014.477,2
28,6023.265,5
29,6314.923,5
30,6335.218,7
31,6786.304,3
32,6811.719,6
33,7149.692,2
34,7164.36,5
35,7541.14,2
36,7552.551,6
37,7837.63,1
38,7854.192,3
39,8165.458,6
40,8185.515,7
41,8553.546,3
42,8576.534,4
43,9015.605,2
44,9029.228,4
45,9503.938,0
46,9526.424,1
47,9881.043,3
48,9894.233,6
49,10328.507,0
50,10339.022,3
51,10642.997,1
52,10651.13,4
53,11113.6,0
54,11133.567,3
55,11573.962,6
56,11596.015,7
57,11969.922,2
58,11988.159,4
59,12275.904,1
60,12285.966,2
61,12716.435,0
62,12732.915,1
63,13135.528,0
64,13157.298,3
65,13578.672,6
66,13596.637,7
67,13997.623,1
68,14011.094,4
69,14269.414,2
70,14285.275,4
71,14593.213,2
72,14608.567,6
73,15088.986,0
74,15101.197,1
75,15366.938,0
76,15380.003,2
77,15709.273,1
78,15729.188,2
79,16129.587,0
80,16151.697,2
81,16581.061,2
82,16596.376,5
83,17066.162,5
84,17077.167,7
85,17385.117,0
86,17716.633,1
87,18269.459,2
88,18731.116,3
89,19087.561,4
90,19562.927,0
91,19916.236,1
92,20459.948,2
93,20916.103,3
94,21349.461,4
95,21754.99,0
96,22275.589,1
97,22702.223,2
98,23032.901,3
99,23374.203,4
100,24010.867,0
