threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.15,10,12.0,2.149372886170244,0.5999999999999999,0.10746864430851219,1.0,0.0
0.19,10,12.0,2.166450901707562,0.5999999999999999,0.10832254508537811,1.0,0.0
0.2,10,1.6,0.6877500346129473,0.158989898989899,0.08399026550301186,1.0,0.0
0.22,10,0.0,0.0,0.0,0.0,1.0,0.0
0.25,10,0.0,0.0,0.0,0.0,1.0,0.0
0.3,10,0.0,0.0,0.0,0.0,1.0,0.0
0.35,10,0.0,0.0,0.0,0.0,1.0,0.0
0.4,10,0.5,0.5579474395902766,0.0,0.0,0.9375,0.06913934520563379
0.45,10,3.2,1.6378813434725041,0.0,0.0,0.6,0.18011400397542715
0.5,10,8.0,2.1531511930331457,0.0,0.0,0.0,0.0
