threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,10,47.0,2.7186553821856654,0.8392857142857142,0.04854741753902975,1.0,0.0
0.1,10,47.0,2.7006831894336827,0.8392857142857142,0.04822648552560148,1.0,0.0
0.15,10,47.0,2.760470285331142,0.8392857142857142,0.04929411223805611,1.0,0.0
0.2,10,46.1,2.7851290425730335,0.8366341991341992,0.04997193046129083,1.0,0.0
0.25,10,3.0,1.6665777754072808,0.2,0.13338922833697298,0.888888888888889,0.10924010446323514
0.3,10,5.5,2.1948504204998502,0.18333333333333335,0.1830209089345089,0.5,0.17055478289037512
0.35,10,6.0,2.2343391128634145,0.0,0.0,0.33333333333333337,0.16104082058638367
0.4,10,8.0,2.6427417740074577,0.0,0.0,0.11111111111111112,0.11047208525200926
0.45,10,9.0,2.748611625142022,0.0,0.0,0.0,0.0
0.5,10,9.0,2.781058303107881,0.0,0.0,0.0,0.0
0.55,10,9.0,2.7242021359064528,0.0,0.0,0.0,0.0
0.6,10,9.0,2.7587255330254523,0.0,0.0,0.0,0.0
0.65,10,9.0,2.7776715895619226,0.0,0.0,0.0,0.0
0.7,10,9.0,2.677139906332517,0.0,0.0,0.0,0.0
0.75,10,9.0,2.826245506615387,0.0,0.0,0.0,0.0
0.8,10,9.0,2.655296895189237,0.0,0.0,0.0,0.0
0.85,10,9.0,2.8153090354284314,0.0,0.0,0.0,0.0
0.9,10,9.0,2.859408193178304,0.0,0.0,0.0,0.0
0.95,10,9.0,2.692512697207689,0.0,0.0,0.0,0.0
