event_id,time,cluster_id
1,187.528,2
2,209.352,0
3,247.486,8
4,263.422,4
5,282.15,1
6,547.412,15
7,556.259,3
8,628.976,10
9,631.653,4
10,677.278,11
11,812.321,8
12,842.6,1
13,849.379,9
14,850.375,15
15,876.747,2
16,889.89,4
17,910.029,12
18,917.341,6
19,950.931,3
20,1078.637,10
21,1125.258,4
22,1157.79,2
23,1157.79,11
24,1160.243,4
25,1162.583,12
26,1261.191,1
27,1261.191,6
28,1261.191,5
29,1281.392,15
30,1296.711,14
31,1321.82,0
32,1327.544,7
33,1329.615,8
34,1352.978,3
35,1362.404,1
36,1368.604,15
37,1410.2,9
38,1449.617,10
39,1492.704,4
40,1549.445,11
41,1610.364,5
42,1630.82,13
43,1643.748,0
44,1644.303,8
45,1648.417,1
46,1655.961,7
47,1760.069,15
48,2205.918,3
49,2249.874,2
50,2259.515,12
51,2262.532,4
52,2267.963,11
53,2326.78,5
54,2427.279,13
55,2545.394,7
56,2959.565,5
57,3079.713,13
58,3161.456,7
59,3207.673,0
60,3282.288,0
61,3321.873,8
62,3371.731,1
63,3375.955,15
64,3386.372,9
65,3479.147,3
66,3536.197,10
67,3608.092,2
68,3617.158,4
69,3628.183,12
70,3672.208,11
71,3687.887,5
72,3698.372,0
73,3701.461,8
74,3702.805,1
75,3836.7,2
76,3866.818,3
77,3879.83,10
78,3952.712,4
79,4053.484,2
80,4059.868,4
81,4067.653,12
82,4072.639,11
83,4076.751,5
84,4116.029,14
85,4356.457,1
86,4356.457,7
87,4451.369,15
88,4657.86,3
89,4708.368,10
90,4748.939,4
91,4766.026,11
92,4766.026,11
93,4773.643,5
94,4776.227,5
95,4796.305,13
96,4828.723,7
97,4846.898,13
98,4900.517,7
99,5068.98,6
100,5159.206,14
101,5174.536,7
102,5267.311,5
103,5276.351,13
104,5307.64,7
105,5313.144,3
106,5388.934,0
107,5390.138,8
108,5457.238,1
109,5492.853,9
110,5523.487,2
111,5567.279,12
112,5570.325,6
113,5576.837,4
114,5583.579,15
115,5605.058,11
116,5618.289,5
117,5739.542,3
118,5807.9,10
119,5818.775,4
120,5886.392,11
121,5947.161,1
122,5984.001,2
123,5984.001,5
124,5984.001,9
125,5984.915,4
126,5988.741,14
127,6009.254,11
128,6099.96,13
129,6194.074,5
130,6411.277,1
131,6411.277,2
132,6411.277,13
133,6414.663,12
134,6426.238,7
135,6440.757,9
136,6458.57,6
137,6488.833,4
138,6500.898,11
139,6526.06,2
140,6540.169,4
141,6688.35,7
142,6748.025,13
143,6748.025,12
144,6771.864,7
145,6817.802,6
146,6860.678,14
147,6884.288,0
148,6914.278,8
149,6949.126,1
150,6980.792,7
151,7029.859,15
152,7162.344,3
153,7241.814,1
154,7433.244,15
155,7748.287,3
156,7794.309,10
157,7903.801,1
158,7903.801,4
159,7909.677,11
160,7966.642,5
161,7992.48,15
162,8011.398,9
163,8021.396,2
164,8030.111,4
165,8056.353,3
166,8297.875,10
167,8313.184,4
168,8347.824,14
169,8347.824,11
170,8358.558,5
171,8392.724,0
172,8392.724,13
173,8401.074,7
174,8454.444,5
175,8477.102,7
176,8477.102,7
177,8477.102,8
178,8612.043,0
179,8612.043,1
180,8620.779,8
181,8671.45,3
182,8671.45,9
183,8671.45,1
184,8671.45,13
185,8760.583,10
187,8842.116,12
186,8842.116,15
188,8845.959,3
189,8950.525,10
190,8984.741,0
191,8999.932,4
192,9003.395,8
193,9161.399,4
194,9273.196,7
195,9304.304,7
196,9309.015,0
197,9453.885,7
198,9501.157,3
199,9673.125,10
200,9837.436,2
201,9837.436,4
202,9843.928,12
203,9853.395,4
204,9888.954,6
205,9943.088,11
206,9959.485,5
207,10034.414,13
208,10074.624,7
209,10094.626,14
210,10248.144,7
211,10265.36,0
212,10270.872,8
213,10274.834,8
214,10277.622,1
215,10282.866,1
216,10299.908,15
218,10306.947,0
217,10306.947,15
219,10307.24,8
220,10335.63,9
221,10346.953,1
222,10356.676,3
223,10366.478,2
224,10371.276,12
225,10394.132,4
226,10405.76,15
227,10413.735,9
228,10461.201,2
229,10463.6,4
230,10464.084,12
231,10468.237,6
232,10484.394,11
233,10502.112,5
234,10556.408,13
235,10559.659,7
236,10733.042,3
237,10761.035,3
