event_id,time,cluster_id
e0,0.0,2
e1,7.0,6
e2,14.0,7
e3,76.0,4
e4,137.0,5
e5,247.0,5
e6,253.0,7
e7,334.0,1
e8,382.0,2
e9,437.0,4
e10,467.0,2
e11,475.0,0
e12,475.0,4
e13,512.0,5
e14,543.0,7
e15,640.0,1
e16,721.0,2
e17,742.0,4
e18,744.0,3
e19,750.0,0
e20,759.0,5
e21,768.0,1
e22,775.0,4
e23,811.0,0
e24,811.0,5
e25,811.0,7
e26,820.0,1
e27,824.0,2
e33,908.0,1
e32,908.0,3
e31,908.0,7
e30,908.0,3
e29,908.0,2
e28,908.0,6
e34,933.0,0
e35,933.0,4
e36,933.0,7
e37,934.0,5
e38,943.0,1
e39,944.0,4
e40,951.0,5
e41,1002.0,4
e42,1005.0,3
e43,1044.0,4
e45,1075.0,0
e46,1075.0,7
e44,1075.0,5
e47,1078.0,1
e48,1492.0,3
e49,1492.0,2
e50,1492.0,7
e51,1492.0,5
e52,1492.0,3
e53,1533.0,4
e54,1536.0,6
e55,1569.0,7
e56,1572.0,2
e57,1592.0,4
e58,1612.0,6
e59,1677.0,5
e60,1701.0,7
e61,1705.0,0
e62,1772.0,1
e63,1938.0,5
e64,1938.0,3
e65,1958.0,4
e66,1964.0,5
e67,1974.0,7
e68,2034.0,7
e69,2043.0,0
e70,2088.0,1
e71,2108.0,2
e72,2121.0,3
e73,2134.0,4
e74,2138.0,4
e75,2288.0,2
e76,2298.0,4
e77,2314.0,3
e78,2335.0,4
e79,2338.0,5
e80,2375.0,7
e81,2550.0,6
e82,2788.0,7
e83,2947.0,7
e84,3092.0,4
e85,3175.0,0
e86,3192.0,6
e87,3203.0,7
e88,3218.0,1
e89,3300.0,3
e90,3332.0,5
e91,3501.0,4
e92,3592.0,3
e93,3685.0,3
e94,3694.0,1
e95,3766.0,1
e96,3766.0,3
e97,3791.0,3
e98,3794.0,4
e99,3908.0,5
e100,3967.0,7
e101,4083.0,2
e102,4127.0,6
e103,4137.0,4
e104,4141.0,5
e105,4537.0,7
e106,4590.0,5
e107,4608.0,7
e108,4684.0,2
e109,4736.0,4
e110,4755.0,5
e111,4812.0,7
e112,4853.0,1
e113,4874.0,2
e114,4875.0,6
e115,4894.0,4
e116,4997.0,7
e117,4999.0,5
e118,5041.0,7
e119,5307.0,0
e120,5380.0,1
e121,5396.0,2
e122,5437.0,3
e123,5445.0,4
e124,5453.0,5
e125,5530.0,0
e126,5530.0,4
e127,5542.0,1
e128,5551.0,7
e129,5561.0,5
e130,5588.0,7
e131,5703.0,3
e132,5756.0,4
e133,5780.0,2
e134,5780.0,5
e135,5798.0,4
e136,5812.0,2
e137,5812.0,5
e138,5837.0,6
e139,5857.0,4
e140,5878.0,7
e141,5899.0,7
e142,5978.0,1
e143,6078.0,2
e144,6080.0,6
e145,6099.0,4
e146,6218.0,3
e147,6316.0,4
e148,6382.0,6
e149,6463.0,0
e150,6491.0,1
e151,6539.0,3
e152,6547.0,4
e153,6818.0,0
e154,6818.0,5
e155,6837.0,7
e156,6872.0,7
e157,6957.0,0
e158,6957.0,1
e159,6970.0,3
e160,6976.0,2
e161,7042.0,4
e162,7046.0,5
e163,7096.0,7
e164,7176.0,2
e165,7185.0,4
e166,7258.0,5
e167,7314.0,7
e168,7449.0,0
e169,7457.0,1
e171,7508.0,2
e170,7508.0,2
e172,7536.0,6
e173,7545.0,4
e174,7547.0,2
e175,7566.0,1
e176,7566.0,3
e177,7566.0,4
e178,7566.0,6
e179,7589.0,4
e180,7924.0,0
e181,7924.0,3
e182,8069.0,5
e188,8222.0,3
e190,8222.0,5
e189,8222.0,5
e187,8222.0,5
e186,8222.0,2
e185,8222.0,7
e184,8222.0,1
e183,8222.0,7
e191,8249.0,6
e192,8265.0,3
e193,8268.0,7
e194,8279.0,4
e195,8360.0,4
e196,8369.0,5
e197,8376.0,7
e198,8456.0,4
e199,8456.0,7
e200,8472.0,5
e201,8597.0,7
e202,8614.0,0
e203,8624.0,1
e204,8627.0,2
e205,8630.0,6
e206,8642.0,4
e207,8664.0,3
e208,8685.0,4
e209,8701.0,0
e210,8735.0,5
e211,8742.0,7
e212,8868.0,7
e213,8877.0,0
e214,8883.0,1
e215,8913.0,3
e216,8954.0,2
e217,8976.0,4
e218,8977.0,6
e219,8991.0,7
e220,9220.0,5
e221,9225.0,7
e222,9234.0,0
e223,9259.0,1
e224,9259.0,1
e225,9263.0,3
e226,9275.0,2
e227,9277.0,4
e228,9280.0,5
e229,9301.0,6
e230,9393.0,3
e231,9475.0,7
e232,9495.0,5
e233,9575.0,7
e234,9751.0,5
e235,9852.0,7
e236,9987.0,5
e237,10001.0,7
e238,10092.0,2
e239,10123.0,4
e240,10183.0,1
e241,10214.0,2
e242,10222.0,4
e243,10225.0,6
e244,10239.0,5
e245,10247.0,7
e246,10259.0,3
e247,10339.0,1
e248,10339.0,4
e249,10365.0,2
e250,10377.0,4
e251,10390.0,3
e252,10394.0,5
e253,10396.0,6
e254,10441.0,7
e255,10665.0,3
e256,10665.0,7
e257,10665.0,4
e258,10715.0,5
e259,10726.0,7
e260,10732.0,4
e261,10768.0,4
e262,10848.0,3
e263,11090.0,0
e264,11177.0,0
e265,11368.0,0
e266,11409.0,1
e267,11424.0,3
e268,11740.0,4
e269,11764.0,5
e270,11856.0,5
e271,11905.0,7
e272,12017.0,0
e273,12089.0,1
e274,12092.0,2
e275,12510.0,0
e276,12518.0,1
e277,12543.0,2
e278,12570.0,6
e279,12583.0,4
e280,12731.0,7
e281,12908.0,2
e282,12961.0,0
e283,12984.0,3
e284,12984.0,4
e285,12984.0,1
e286,13161.0,1
e287,13201.0,1
e288,13201.0,2
e289,13201.0,3
e290,13203.0,2
e291,13206.0,6
e292,13219.0,6
e293,13219.0,3
e294,13230.0,2
e295,13231.0,7
e296,13279.0,4
e297,13288.0,6
e298,13300.0,5
e299,13322.0,7
e300,13339.0,7
e301,13369.0,4
e302,13427.0,7
e303,13427.0,3
e304,13427.0,5
e305,13427.0,4
e306,13450.0,4
e307,13473.0,5
e308,13487.0,7
e309,13596.0,5
e310,13683.0,7
e311,13888.0,0
e312,13902.0,1
e313,14079.0,2
e314,14079.0,2
e315,14100.0,7
e316,14100.0,6
e317,14100.0,4
e318,14100.0,4
e319,14101.0,6
e320,14177.0,7
e321,14210.0,5
e322,14211.0,7
e323,14350.0,0
e324,14375.0,1
e325,14421.0,5
e329,14438.0,6
e328,14438.0,2
e326,14438.0,3
e327,14438.0,6
e330,14440.0,4
e331,14449.0,4
e332,14513.0,7
e333,14605.0,7
e334,15087.0,0
e335,15196.0,0
e336,15237.0,1
e337,15324.0,2
e338,15368.0,6
e339,15396.0,4
e340,15399.0,5
e341,15425.0,3
e342,15455.0,4
e343,15460.0,7
e344,15496.0,4
e345,15586.0,5
e346,15672.0,7
e347,15691.0,4
e348,15714.0,0
e349,15719.0,1
e350,15811.0,3
e351,15819.0,3
e352,15827.0,4
e353,16006.0,5
e354,16058.0,0
e355,16073.0,0
e356,16182.0,2
e359,16303.0,0
e358,16303.0,4
e357,16303.0,6
e360,16320.0,5
e361,16388.0,1
e362,16538.0,2
e363,16548.0,4
e364,16552.0,6
e365,16641.0,0
e366,16710.0,1
e367,16731.0,0
e368,16731.0,2
e369,16731.0,1
e370,16732.0,4
e371,16741.0,6
e372,16762.0,3
e373,16819.0,7
e374,16998.0,1
e375,17045.0,3
e376,17046.0,2
e377,17067.0,6
e378,17077.0,4
e379,17098.0,2
e380,17098.0,5
e381,17100.0,4
e382,17102.0,7
e383,17110.0,6
e384,17163.0,5
e385,17171.0,7
e386,17229.0,7
e387,17235.0,5
e388,17258.0,7
e389,17313.0,3
e390,17413.0,2
e391,17485.0,4
e392,17500.0,6
e393,17533.0,7
e394,17589.0,5
e395,17629.0,7
e396,17721.0,2
e397,17721.0,6
e398,17727.0,4
e399,17734.0,0
e400,17758.0,1
e401,17775.0,2
e402,17777.0,5
e403,17791.0,6
e404,17810.0,3
e405,17841.0,7
e406,17858.0,4
e407,17875.0,5
e408,18073.0,7
e409,18250.0,0
e410,18326.0,7
e411,18359.0,3
e412,18440.0,3
e413,18440.0,4
e414,18441.0,0
e415,18447.0,1
e416,18461.0,2
e417,18472.0,6
e418,18492.0,7
e419,18539.0,7
e420,18565.0,2
e421,18572.0,6
e422,18585.0,4
e423,18634.0,5
e424,18646.0,7
e425,18748.0,7
e426,18766.0,0
e427,18802.0,1
e428,18806.0,0
e429,18880.0,2
e430,18915.0,6
e431,18929.0,7
e432,18939.0,4
e433,18964.0,5
e434,19208.0,7
