threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.15,1,0.0,0.0,0.0,0.0,1.0,0.0
0.19,1,0.0,0.0,0.0,0.0,1.0,0.0
0.2,1,0.0,0.0,0.0,0.0,1.0,0.0
0.22,1,0.0,0.0,0.0,0.0,1.0,0.0
0.25,1,0.0,0.0,0.0,0.0,1.0,0.0
0.3,1,0.0,0.0,0.0,0.0,1.0,0.0
0.35,1,1.0,0.9777253944472072,0.0,0.0,0.875,0.12051429414469149
0.4,1,3.0,1.5763514468175819,0.0,0.0,0.625,0.17965003044081806
0.45,1,5.0,1.9395003639240858,0.0,0.0,0.375,0.1792358307965809
0.5,1,6.0,2.0593571695924804,0.0,0.0,0.25,0.16412046405791972
