event_id,time,cluster_id
1,365.749,2
2,377.016,3
3,763.079,1
4,777.448,2
5,980.05,0
6,997.758,3
7,1360.431,2
8,1375.864,4
9,1586.612,2
10,1598.016,3
11,1867.008,0
12,1884.129,2
13,2218.656,0
14,2234.53,2
15,2520.949,1
16,2529.676,2
17,2842.776,1
18,2849.542,4
19,3228.174,2
20,3241.754,4
21,3603.695,1
22,3613.949,2
23,4026.916,2
24,4043.634,3
25,4410.446,0
26,4418.782,1
27,4710.795,1
28,4717.32,4
29,4934.35,3
30,4948.546,4
31,5307.289,1
32,5324.899,4
33,5583.097,0
34,5593.543,1
35,5886.236,3
36,5894.51,4
37,6105.691,0
38,6117.4,2
39,6351.858,3
40,6365.896,4
41,6650.812,0
42,6666.804,3
43,7014.868,0
44,7024.616,3
45,7404.359,0
46,7420.016,1
47,7693.011,0
48,7702.471,1
49,8046.269,2
50,8053.946,4
