event_id,time,cluster_id
1,458.968,2
2,474.868,6
3,956.689,5
4,977.242,7
5,1252.67,2
6,1278.231,5
7,1733.739,2
8,1755.888,4
9,2040.479,6
10,2056.586,7
11,2406.701,4
12,2431.383,5
13,2855.226,1
14,2878.036,4
15,3247.758,0
16,3259.848,3
17,3659.586,3
18,3668.735,4
19,4142.195,1
20,4161.565,2
21,4616.249,1
22,4630.63,3
23,5142.719,0
24,5166.795,1
25,5626.959,0
26,5638.462,2
27,6014.477,3
28,6023.265,6
29,6377.267,0
30,6916.334,1
31,7477.0,2
32,8115.629,3
33,8529.668,4
34,8959.329,0
35,9423.673,1
36,9789.988,2
37,10135.461,3
38,10601.957,4
39,10981.376,0
40,11515.811,1
41,11968.814,2
42,12560.251,3
43,13105.344,4
44,13514.672,0
45,14105.963,1
46,14687.631,2
47,15123.248,3
48,15524.163,4
49,16063.036,0
50,16411.95,1
